2025-12-17 17:27:49 - lightweight_realtime - INFO - [2025-12-17 17:27:49.908] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:50 - lightweight_realtime - INFO - [2025-12-17 17:27:50.929] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:51 - lightweight_realtime - INFO - [2025-12-17 17:27:51.957] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:52 - lightweight_realtime - INFO - [2025-12-17 17:27:52.976] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:54 - lightweight_realtime - INFO - [2025-12-17 17:27:54.012] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:55 - lightweight_realtime - INFO - [2025-12-17 17:27:55.031] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:56 - lightweight_realtime - INFO - [2025-12-17 17:27:56.040] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:57 - lightweight_realtime - INFO - [2025-12-17 17:27:57.110] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:58 - lightweight_realtime - INFO - [2025-12-17 17:27:58.126] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:59 - lightweight_realtime - INFO - [2025-12-17 17:27:59.139] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-17 17:28:00 - lightweight_realtime - INFO - [2025-12-17 17:28:00.274] Positions: 0 | State: SCANNING | Symbol: US500_x100m
