2025-12-22 17:31:51 - lightweight_realtime - INFO - [2025-12-22 17:31:51.344] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:52 - lightweight_realtime - INFO - [2025-12-22 17:31:52.374] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:53 - lightweight_realtime - INFO - [2025-12-22 17:31:53.403] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:54 - lightweight_realtime - INFO - [2025-12-22 17:31:54.420] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:55 - lightweight_realtime - INFO - [2025-12-22 17:31:55.449] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:56 - lightweight_realtime - INFO - [2025-12-22 17:31:56.478] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:57 - lightweight_realtime - INFO - [2025-12-22 17:31:57.501] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:58 - lightweight_realtime - INFO - [2025-12-22 17:31:58.547] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:59 - lightweight_realtime - INFO - [2025-12-22 17:31:59.596] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:32:00 - lightweight_realtime - INFO - [2025-12-22 17:32:00.623] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:32:01 - lightweight_realtime - INFO - [2025-12-22 17:32:01.641] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
